,Cod Cliente,Zona,Distrito,Comuna,Canal,SubCanal,TipoNeg,venta_total_clp,n_facturas,ticket_promedio,ticket_desv_std,dias_entre_compras,recencia
67,1007315,NORTE 1,COPIAPO,COPIAPO,COBERTURA,COBERTURA,AL,305739,8,38217.375,21193.07657796021,14.0,4
68,1007501,SANTIAGO,SANTIAGO SUR 2,PUENTE ALTO,COBERTURA,COBERTURA,AL,345570,8,43196.25,15034.283390685057,8.0,4
69,1008032,SANTIAGO,SANTIAGO SUR 1,LA GRANJA,COBERTURA,COBERTURA,AL,1160705,18,64483.61111111111,10685.536520092111,3.4705882352941178,1
70,1008222,SANTIAGO,SANTIAGO CENTRO COSTA,CARTAGENA,COBERTURA,COBERTURA,AL,3192267,10,319226.7,82788.6637919441,6.222222222222222,4
71,1008361,SANTIAGO,SANTIAGO PONIENTE 2,SAN BERNARDO,COBERTURA,COBERTURA,AL,908002,9,100889.11111111111,24235.925242521917,7.0,4
72,1008425,SANTIAGO,SANTIAGO PONIENTE 2,SAN BERNARDO,COBERTURA,COBERTURA,AL,729824,9,81091.55555555556,33014.07621421169,7.0,4
73,1008477,NORTE 1,COPIAPO,TIERRA AMARILLA,COBERTURA,COBERTURA,PA,2382167,11,216560.63636363635,97520.32429834585,7.0,4
74,1008563,SUR 2,CHILLAN,CHILLAN,COBERTURA,COBERTURA,AL,1026795,19,54041.84210526316,29032.730566385773,7.0,4
75,1008749,SUR 3,CHILOE,CHONCHI,COBERTURA,VOLUMEN COBERTURA,SL,3707173,28,132399.0357142857,141418.2776545396,7.0,11
76,1008805,SUR 3,CHILOE,CHONCHI,COBERTURA,VOLUMEN COBERTURA,SL,3186032,51,62471.21568627451,39983.623086115505,7.0,4
77,1008906,SANTIAGO,SANTIAGO CENTRO COSTA,CARTAGENA,COBERTURA,COBERTURA,AL,508848,4,127212.0,21654.697427271218,16.333333333333332,11
78,1008934,SUR 3,CHILOE,ANCUD,COBERTURA,COBERTURA,PA,53345,2,26672.5,1224.0018382339138,49.0,11
79,1008994,SUR 1,RANCAGUA,RANCAGUA,COBERTURA,VOLUMEN COBERTURA,PA,4269449,17,251144.0588235294,232794.2430469637,7.0,4
80,1009018,SUR 3,CHILOE,QUEILEN,COBERTURA,COBERTURA,PA,70663,2,35331.5,4509.219943626614,56.0,4
81,1009022,SUR 3,CHILOE,QUEILEN,COBERTURA,COBERTURA,PA,584191,11,53108.27272727273,37792.684937937156,14.0,4
82,1009023,SUR 3,CHILOE,QUEILEN,COBERTURA,COBERTURA,AL,425152,10,42515.2,15072.619301973438,14.0,18
