Cod Cliente,cluster,cluster_agrupado
40291,6,Charcutería colonial/salchichón
40386,6,Charcutería colonial/salchichón
40475,8,Charcutería colonial/salchichón
40478,1,Salame laminado + básicos
40526,6,Charcutería colonial/salchichón
40538,6,Charcutería colonial/salchichón
40572,9,Mortadelas + básicos
40785,6,Charcutería colonial/salchichón
40789,6,Charcutería colonial/salchichón
40881,3,Queso gauda + básicos
41034,11,Básica vienesa-paté
41223,1,Salame laminado + básicos
41275,1,Salame laminado + básicos
41285,1,Salame laminado + básicos
41320,6,Charcutería colonial/salchichón
41336,1,Salame laminado + básicos
41400,6,Charcutería colonial/salchichón
41418,6,Charcutería colonial/salchichón
41449,10,Sin un comportamiento claro
41640,6,Charcutería colonial/salchichón
41666,12,Básica vienesa-paté
41950,8,Charcutería colonial/salchichón
42010,11,Básica vienesa-paté
42034,3,Queso gauda + básicos
42063,6,Charcutería colonial/salchichón
42150,6,Charcutería colonial/salchichón
42165,13,Formato chico paté-salame-lácteos
42270,10,Sin un comportamiento claro
42281,2,Mortadelas + básicos
42299,6,Charcutería colonial/salchichón
42366,6,Charcutería colonial/salchichón
42419,8,Charcutería colonial/salchichón
42454,6,Charcutería colonial/salchichón
42497,1,Salame laminado + básicos
42539,6,Charcutería colonial/salchichón
42562,1,Salame laminado + básicos
42578,6,Charcutería colonial/salchichón
42594,3,Queso gauda + básicos
42632,6,Charcutería colonial/salchichón
42642,1,Salame laminado + básicos
42653,9,Mortadelas + básicos
42659,1,Salame laminado + básicos
42685,8,Charcutería colonial/salchichón
42729,6,Charcutería colonial/salchichón
42752,6,Charcutería colonial/salchichón
42753,1,Salame laminado + básicos
42796,6,Charcutería colonial/salchichón
42805,6,Charcutería colonial/salchichón
42808,11,Básica vienesa-paté
42859,1,Salame laminado + básicos
42914,1,Salame laminado + básicos
42986,10,Sin un comportamiento claro
42987,1,Salame laminado + básicos
43005,6,Charcutería colonial/salchichón
43023,6,Charcutería colonial/salchichón
43151,6,Charcutería colonial/salchichón
43167,2,Mortadelas + básicos
43210,6,Charcutería colonial/salchichón
43232,12,Básica vienesa-paté
43268,11,Básica vienesa-paté
43273,8,Charcutería colonial/salchichón
43325,11,Básica vienesa-paté
43338,6,Charcutería colonial/salchichón
43375,2,Mortadelas + básicos
